SAINC7N Wages and salaries by NAICS industry 1,,,,,,,,,,,,,,,,,,,,,,,,,,
SAINC7N Wages and salaries by NAICS industry 1,,,,,,,,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
47000,Tennessee,200,"      Mining, quarrying, and oil and gas extraction",191575,177832,170769,173952,157751,144716,148141,164669,188203,209929,230073,183761,225500,220869,220676,217269,232699,235748,206658,221414,254046,265171,254853
48000,Texas,50,Wages and salaries by place of work (thousands of dollars),291035692,310514965,339022925,352372323,351936233,358091895,377504862,403719343,441805640,479346820,503931026,487489547,501475560,532552612,568952954,590994444,633135849,661812333,671159861,701806732,743470105,787625663,793273222
48000,Texas,81,  Farm wages and salaries,708893,803661,767044,856330,600039,782600,866180,1029308,868881,1118826,1211385,1143724,1114615,1325368,1375059,1218625,1458488,1620567,1378971,1391799,1566771,1149789,998410
48000,Texas,200,"      Mining, quarrying, and oil and gas extraction",10114013,10244437,10982303,11809073,11326194,11636429,13083616,15981313,18810801,21925508,26036351,22657805,23868334,28575531,32399922,34493757,38821146,34776107,28663941,27869843,30938498,32895480,26716550
49000,Utah,50,Wages and salaries by place of work (thousands of dollars),28814471,30632372,32974823,34266548,34840761,35682065,38108456,40869563,45068696,49198920,50590973,48862379,49603272,51945814,55084163,57348654,60569750,64650200,68339320,72535259,78014232,83839532,89755378
49000,Utah,81,  Farm wages and salaries,91784,91057,105303,108454,125739,111611,121417,140908,137195,161352,148241,167620,147206,147796,170802,190527,184059,154933,177570,192791,192155,139343,205763
49000,Utah,200,"      Mining, quarrying, and oil and gas extraction",342061,325324,355031,372866,343685,343742,397296,490096,640612,760467,882136,712866,734780,857205,961799,946567,965204,831101,691013,670677,746055,771036,752371
50000,Vermont,50,Wages and salaries by place of work (thousands of dollars),7750545,8247312,8892966,9346529,9560735,9874819,10383130,10724110,11224595,11667228,12070372,11805327,12020802,12365847,12791242,13198832,13639969,14108594,14453323,14907652,15411031,15962789,15931852
50000,Vermont,81,  Farm wages and salaries,48107,45443,54644,58235,75482,67564,65431,52487,58506,67728,62209,60175,57448,49952,78967,80491,85359,69344,78766,76032,71539,57532,61539
50000,Vermont,200,"      Mining, quarrying, and oil and gas extraction",26183,29477,29338,32762,32400,31968,30417,28929,42231,43859,39770,35965,33072,33108,34091,33811,33499,36979,37827,36738,37900,38928,37959
51000,Virginia,50,Wages and salaries by place of work (thousands of dollars),112115317,120992031,132384492,138736575,140649617,147669361,158761605,169079566,178939009,188710487,193707707,191509278,196433165,202088225,208176699,210443226,215893951,225619263,231293939,240848339,250392302,261980380,268724049
51000,Virginia,81,  Farm wages and salaries,174478,180731,164449,196755,238665,263459,257754,208919,235331,275341,252909,236179,233550,203078,292918,295573,316629,257224,292172,296584,279055,224419,240049
51000,Virginia,200,"      Mining, quarrying, and oil and gas extraction",391830,374246,389047,413437,392224,382135,418330,463865,518055,509730,560484,522165,579149,638938,618882,558135,530218,472713,392858,420203,447747,455174,385804
53000,Washington,50,Wages and salaries by place of work (thousands of dollars),93722306,103080733,109279037,109689454,110402709,113055761,118019089,124544925,134854756,145288825,150203015,146266908,147840747,154768432,164073906,170535291,181584284,191714808,203646473,218430347,237183103,253892354,264863851
53000,Washington,81,  Farm wages and salaries,895554,1001213,1018125,1008633,935899,991236,960767,1146230,1061749,1059213,1302781,1291660,1184092,1118064,1500768,1533680,1498712,1517540,1674602,1538686,1445794,1557841,2041237
53000,Washington,200,"      Mining, quarrying, and oil and gas extraction",159937,153568,152561,160508,147686,149624,169670,179276,192750,183227,164828,126110,123757,131571,131500,136467,143675,163356,165435,183543,188273,173680,156830
54000,West Virginia,50,Wages and salaries by place of work (thousands of dollars),17901595,18473498,19249275,19983879,20409183,20808680,21888411,22826358,24137046,25174072,26726670,26702303,27249483,28585162,29435511,29479076,30106511,30264757,29719860,30905465,33296479,33414244,32569904
54000,West Virginia,81,  Farm wages and salaries,22073,23097,21224,25637,31387,33606,31854,24984,27199,30712,28212,27287,26052,22653,35764,36456,38658,31406,35674,32070,30175,24268,25957
54000,West Virginia,200,"      Mining, quarrying, and oil and gas extraction",1080601,984742,960447,1098681,1093955,1067422,1227514,1411423,1604355,1743386,2103871,2089428,2143915,2592608,2593181,2473691,2385779,1970706,1456536,1693543,1821725,1816821,1382218
55000,Wisconsin,50,Wages and salaries by place of work (thousands of dollars),78957245,83730825,88456938,90654202,93016675,96057447,100924536,103845679,108707669,113109537,115996809,110609433,112413333,116881921,121216554,124686149,129425164,135200404,138766642,143773470,150353500,155598802,157117307
55000,Wisconsin,81,  Farm wages and salaries,558685,506075,586939,564262,608785,577072,631795,598143,589706,788598,781528,741314,650619,604671,785350,795353,867005,727400,874663,856167,899386,900613,779661
55000,Wisconsin,200,"      Mining, quarrying, and oil and gas extraction",115837,117503,112531,120578,120976,122199,135289,139948,146690,142395,137940,123032,126819,138350,168896,185271,228586,219529,189823,235429,267051,237066,(D)
56000,Wyoming,50,Wages and salaries by place of work (thousands of dollars),6040447,6387324,6835198,7330442,7689473,8033813,8577754,9339710,10725780,11895834,12950593,12196298,12369750,12939091,13542585,13733298,14410145,14280603,13424467,13709434,14352801,15065688,14600742
56000,Wyoming,81,  Farm wages and salaries,66404,65634,75629,77617,89677,78470,84159,96298,92449,107216,98503,111381,97814,98207,128351,143172,138313,116425,133437,141840,141371,102517,151382
56000,Wyoming,200,"      Mining, quarrying, and oil and gas extraction",771293,767095,887446,978732,977044,1029960,1191626,1400060,1797912,1977927,2251695,1882444,1940622,2198331,2295693,2264024,2410570,2107220,1604415,1748778,1895720,1963907,1514211
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,
1. The estimates of wages and salaries for 1998-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011-2016 are based on the 2012 NAICS. The estimates for 2017 forward are based on the 2017 NAICS.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note. All dollar estimates are in thousands of current dollars (not adjusted for inflation). Statistics presented in thousands of dollars do not indicate more precision than statistics presented in millions of dollars.,,,,,,,,,,,,,,,,,,,,,,,,,,
(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals.,,,,,,,,,,,,,,,,,,,,,,,,,,
(T) Estimate for wages and salaries suppressed to cover corresponding estimate for earnings. Estimates for this item are included in the total.,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Last updated: September 29, 2023-- revised statistics for 2002-2022.",,,,,,,,,,,,,,,,,,,,,,,,,,
