"Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector"
2020,Arkansas,71,Private,1876,"973,136","35,129","44,753",3.60%,4.60%
2020,Arkansas,71,Public,369,"184,419","19,177","23,805",10.40%,12.90%
2020,Arkansas,71,Total,2245,"1,157,555","54,306","68,558",4.70%,5.90%
2021,Arkansas,71,Priv. Construction,121,"63,956","3,623","3,623",5.70%,5.70%
2021,Arkansas,71,Priv. Manufacturing,325,"168,724","14,714","15,317",8.70%,9.10%
2021,Arkansas,71,Private,1907,"990,280","33,129","35,965",3.30%,3.60%
2021,Arkansas,71,Public,348,"177,380","12,374","15,406",7.00%,8.70%
2021,Arkansas,71,Total,2255,"1,167,661","45,503","51,371",3.90%,4.40%
2022,Arkansas,71,Priv. Construction,118,"65,271","4,452","4,452",6.80%,6.80%
2022,Arkansas,71,Priv. Manufacturing,258,"145,185","14,462","14,462",10.00%,10.00%
2022,Arkansas,71,Private,1790,"999,570","41,961","47,081",4.20%,4.70%
2022,Arkansas,71,Public,374,"202,904","16,467","20,807",8.10%,10.30%
2022,Arkansas,71,Total,2164,"1,202,474","58,428","67,888",4.90%,5.60%
1983,California,93,Priv. Construction,616,"398,031","156,189","164,233",39.20%,41.30%
1983,California,93,Priv. Manufacturing,3170,"2,013,168","421,889","472,106",21.00%,23.50%
1983,California,93,Private,12661,"8,066,842","1,423,979","1,590,663",17.70%,19.70%
1983,California,93,Public,2538,"1,599,375","694,906","914,496",43.40%,57.20%
1983,California,93,Total,15199,"9,666,217","2,118,885","2,505,159",21.90%,25.90%
1984,California,93,Priv. Construction,677,"454,750","152,193","158,553",33.50%,34.90%
1984,California,93,Priv. Manufacturing,3320,"2,155,441","430,661","471,807",20.00%,21.90%
1984,California,93,Private,12911,"8,516,501","1,429,745","1,596,689",16.80%,18.70%
1984,California,93,Public,2431,"1,609,788","723,616","916,103",45.00%,56.90%
1984,California,93,Total,15342,"10,126,290","2,153,361","2,512,792",21.30%,24.80%
1985,California,93,Priv. Construction,680,"521,788","160,938","166,479",30.80%,31.90%
1985,California,93,Priv. Manufacturing,3158,"2,196,503","408,080","458,091",18.60%,20.90%
1985,California,93,Private,12230,"8,721,580","1,378,224","1,534,746",15.80%,17.60%
1985,California,93,Public,2323,"1,686,126","744,897","951,016",44.20%,56.40%
1985,California,93,Total,14553,"10,407,706","2,123,121","2,485,763",20.40%,23.90%
1986,California,93,Priv. Construction,681,"581,759","170,070","177,331",29.20%,30.50%
1986,California,93,Priv. Manufacturing,2978,"2,328,025","440,894","481,669",18.90%,20.70%
1986,California,93,Private,11595,"9,163,602","1,390,162","1,540,196",15.20%,16.80%
1986,California,93,Public,2152,"1,725,963","787,236","974,824",45.60%,56.50%
1986,California,93,Total,13747,"10,889,565","2,177,397","2,515,021",20.00%,23.10%
1987,California,93,Priv. Construction,647,"566,690","156,945","166,213",27.70%,29.30%
1987,California,93,Priv. Manufacturing,2870,"2,315,343","407,913","450,526",17.60%,19.50%
1987,California,93,Private,11540,"9,438,279","1,366,396","1,516,526",14.50%,16.10%
1987,California,93,Public,2179,"1,821,640","823,242","997,196",45.20%,54.70%
1987,California,93,Total,13719,"11,259,919","2,189,639","2,513,722",19.40%,22.30%
1988,California,93,Priv. Construction,515,"634,134","165,807","180,801",26.10%,28.50%
1988,California,93,Priv. Manufacturing,1855,"2,321,150","361,384","395,719",15.60%,17.00%
1988,California,93,Private,8067,"9,770,353","1,257,397","1,397,428",12.90%,14.30%
1988,California,93,Public,1612,"1,872,495","892,718","1,113,032",47.70%,59.40%
1988,California,93,Total,9679,"11,642,848","2,150,115","2,510,460",18.50%,21.60%
1989,California,93,Priv. Construction,591,"710,155","183,908","193,178",25.90%,27.20%
1989,California,93,Priv. Manufacturing,1950,"2,238,972","406,812","446,083",18.20%,19.90%
1989,California,93,Private,8644,"9,913,212","1,319,841","1,479,209",13.30%,14.90%
1989,California,93,Public,1718,"1,912,738","919,038","1,105,075",48.00%,57.80%
1989,California,93,Total,10362,"11,825,950","2,238,878","2,584,284",18.90%,21.90%
1990,California,93,Priv. Construction,805,"714,897","174,421","183,124",24.40%,25.60%
1990,California,93,Priv. Manufacturing,2823,"2,364,795","367,412","412,688",15.50%,17.50%
1990,California,93,Private,12456,"10,557,424","1,353,307","1,507,902",12.80%,14.30%
1990,California,93,Public,2330,"1,968,738","914,923","1,116,323",46.50%,56.70%
1990,California,93,Total,14786,"12,526,161","2,268,229","2,624,225",18.10%,20.90%
1991,California,93,Priv. Construction,637,"578,050","138,124","144,232",23.90%,25.00%
1991,California,93,Priv. Manufacturing,2693,"2,258,540","322,211","351,220",14.30%,15.60%
1991,California,93,Private,11908,"10,187,000","1,264,948","1,407,218",12.40%,13.80%
1991,California,93,Public,2247,"1,929,373","920,123","1,095,388",47.70%,56.80%
1991,California,93,Total,14155,"12,116,373","2,185,071","2,502,606",18.00%,20.70%
1992,California,93,Priv. Construction,563,"547,075","125,972","130,437",23.00%,23.80%
1992,California,93,Priv. Manufacturing,2431,"2,164,970","288,722","322,825",13.30%,14.90%
1992,California,93,Private,11053,"10,103,684","1,249,813","1,385,295",12.40%,13.70%
1992,California,93,Public,2131,"1,972,825","919,402","1,134,428",46.60%,57.50%
1992,California,93,Total,13184,"12,076,509","2,169,215","2,519,723",18.00%,20.90%
1993,California,93,Priv. Construction,503,"517,291","116,573","121,413",22.50%,23.50%
1993,California,93,Priv. Manufacturing,2179,"2,018,950","231,894","252,483",11.50%,12.50%
1993,California,93,Private,10541,"9,966,516","1,155,747","1,261,435",11.60%,12.70%
1993,California,93,Public,2150,"2,051,710","983,646","1,153,569",47.90%,56.20%
1993,California,93,Total,12691,"12,018,225","2,139,393","2,415,004",17.80%,20.10%
1994,California,93,Priv. Construction,496,"513,437","114,903","116,705",22.40%,22.70%
1994,California,93,Priv. Manufacturing,2096,"2,029,255","223,283","251,141",11.00%,12.40%
1994,California,93,Private,10219,"10,118,031","1,123,647","1,228,285",11.10%,12.10%
1994,California,93,Public,2074,"2,063,356","1,061,477","1,242,040",51.40%,60.20%
1994,California,93,Total,12293,"12,181,388","2,185,124","2,470,325",17.90%,20.30%
1995,California,93,Priv. Construction,444,"488,983","108,016","118,394",22.10%,24.20%
1995,California,93,Priv. Manufacturing,2063,"2,040,375","245,976","266,227",12.10%,13.00%
1995,California,93,Private,10008,"10,279,694","1,129,822","1,249,582",11.00%,12.20%
1995,California,93,Public,1946,"2,040,145","1,046,542","1,213,360",51.30%,59.50%
1995,California,93,Total,11954,"12,319,839","2,176,364","2,462,942",17.70%,20.00%
1996,California,93,Priv. Construction,458,"506,574","102,367","106,889",20.20%,21.10%
1996,California,93,Priv. Manufacturing,2066,"2,174,446","200,862","226,993",9.20%,10.40%
1996,California,93,Private,9920,"10,544,950","1,096,328","1,226,866",10.40%,11.60%
1996,California,93,Public,1784,"1,916,083","964,238","1,113,046",50.30%,58.10%
1996,California,93,Total,11704,"12,461,034","2,060,566","2,339,912",16.50%,18.80%
1997,California,93,Priv. Construction,514,"577,100","112,939","114,960",19.60%,19.90%
1997,California,93,Priv. Manufacturing,2165,"2,236,412","216,325","240,626",9.70%,10.80%
1997,California,93,Private,10299,"10,873,299","1,087,751","1,205,611",10.00%,11.10%
1997,California,93,Public,1886,"2,004,708","978,911","1,115,027",48.80%,55.60%
1997,California,93,Total,12185,"12,878,007","2,066,662","2,320,639",16.00%,18.00%
1998,California,93,Priv. Construction,573,"640,650","126,324","127,119",19.70%,19.80%
1998,California,93,Priv. Manufacturing,2011,"2,085,015","191,045","209,735",9.20%,10.10%
1998,California,93,Private,10528,"11,220,926","1,094,797","1,192,603",9.80%,10.60%
1998,California,93,Public,1986,"2,116,931","1,059,240","1,215,019",50.00%,57.40%
1998,California,93,Total,12514,"13,337,858","2,154,037","2,407,621",16.10%,18.10%
1999,California,93,Priv. Construction,644,"723,046","183,650","184,431",25.40%,25.50%
1999,California,93,Priv. Manufacturing,1971,"2,064,470","176,045","198,033",8.50%,9.60%
1999,California,93,Private,10780,"11,623,770","1,182,624","1,282,508",10.20%,11.00%
1999,California,93,Public,1993,"2,187,681","1,103,413","1,244,040",50.40%,56.90%
1999,California,93,Total,12773,"13,811,450","2,286,037","2,526,548",16.60%,18.30%
2000,California,93,Priv. Construction,670,"738,760","176,288","183,577",23.90%,24.80%
2000,California,93,Priv. Manufacturing,2067,"2,207,441","163,471","181,582",7.40%,8.20%
2000,California,93,Private,11148,"12,141,328","1,180,230","1,293,052",9.70%,10.70%
2000,California,93,Public,1991,"2,217,304","1,114,900","1,252,927",50.30%,56.50%
2000,California,93,Total,13139,"14,358,632","2,295,130","2,545,979",16.00%,17.70%
2001,California,93,Priv. Construction,706,"831,781","178,217","180,515",21.40%,21.70%
2001,California,93,Priv. Manufacturing,1868,"2,096,560","179,714","193,492",8.60%,9.20%
2001,California,93,Private,10665,"12,218,919","1,185,087","1,274,074",9.70%,10.40%
2001,California,93,Public,2012,"2,332,490","1,206,597","1,339,554",51.70%,57.40%
2001,California,93,Total,12677,"14,551,408","2,391,683","2,613,628",16.40%,18.00%
2002,California,93,Priv. Construction,645,"788,466","159,115","161,218",20.20%,20.40%
2002,California,93,Priv. Manufacturing,1709,"1,924,917","191,618","200,502",10.00%,10.40%
2002,California,93,Private,10333,"12,039,945","1,233,430","1,313,246",10.20%,10.90%
2002,California,93,Public,2042,"2,412,326","1,345,301","1,447,480",55.80%,60.00%
2002,California,93,Total,12375,"14,452,270","2,578,731","2,760,726",17.80%,19.10%
2003,California,93,Priv. Construction,652,"849,684","170,060","171,445",20.00%,20.20%
2003,California,93,Priv. Manufacturing,1556,"1,850,838","140,396","157,664",7.60%,8.50%
2003,California,93,Private,9903,"11,991,189","1,155,116","1,277,216",9.60%,10.70%
2003,California,93,Public,1932,"2,358,660","1,259,093","1,369,662",53.40%,58.10%
2003,California,93,Total,11835,"14,349,849","2,414,208","2,646,878",16.80%,18.40%
2004,California,93,Priv. Construction,704,"887,480","133,903","144,493",15.10%,16.30%
2004,California,93,Priv. Manufacturing,1416,"1,693,716","114,579","131,471",6.80%,7.80%
2004,California,93,Private,9951,"12,042,250","1,129,674","1,224,630",9.40%,10.20%
2004,California,93,Public,1944,"2,371,998","1,255,031","1,362,922",52.90%,57.50%
2004,California,93,Total,11895,"14,414,248","2,384,705","2,587,552",16.50%,18.00%
2005,California,93,Priv. Construction,903,"1,034,759","168,978","177,840",16.30%,17.20%
2005,California,93,Priv. Manufacturing,1493,"1,653,230","139,651","149,192",8.40%,9.00%
2005,California,93,Private,11157,"12,430,214","1,209,162","1,312,834",9.70%,10.60%
2005,California,93,Public,2045,"2,256,821","1,214,693","1,297,361",53.80%,57.50%
2005,California,93,Total,13202,"14,687,035","2,423,855","2,610,195",16.50%,17.80%
2006,California,93,Priv. Construction,948,"1,007,227","175,828","181,604",17.50%,18.00%
2006,California,93,Priv. Manufacturing,1544,"1,627,990","103,109","111,730",6.30%,6.90%
2006,California,93,Private,11636,"12,276,069","1,102,609","1,182,097",9.00%,9.60%
2006,California,93,Public,2134,"2,224,691","1,170,827","1,262,025",52.60%,56.70%
2006,California,93,Total,13770,"14,500,760","2,273,437","2,444,122",15.70%,16.90%
2007,California,93,Priv. Construction,971,"1,082,631","178,624","184,031",16.50%,17.00%
2007,California,93,Priv. Manufacturing,1480,"1,601,404","140,519","150,482",8.80%,9.40%
2007,California,93,Private,11516,"12,461,462","1,201,836","1,305,834",9.60%,10.50%
2007,California,93,Public,2266,"2,394,618","1,272,081","1,344,546",53.10%,56.10%
2007,California,93,Total,13782,"14,856,080","2,473,918","2,650,380",16.70%,17.80%
2008,California,93,Priv. Construction,830,"923,815","186,994","196,386",20.20%,21.30%
2008,California,93,Priv. Manufacturing,1638,"1,750,529","164,321","174,792",9.40%,10.00%
2008,California,93,Private,11587,"12,434,276","1,334,376","1,417,541",10.70%,11.40%
2008,California,93,Public,2330,"2,454,709","1,405,524","1,491,953",57.30%,60.80%
2008,California,93,Total,13917,"14,888,985","2,739,901","2,909,494",18.40%,19.50%
2009,California,93,Priv. Construction,666,"734,894","129,251","132,541",17.60%,18.00%
2009,California,93,Priv. Manufacturing,1480,"1,566,550","126,241","139,025",8.10%,8.90%
2009,California,93,Private,11233,"11,931,167","1,133,354","1,226,092",9.50%,10.30%
2009,California,93,Public,2261,"2,365,935","1,320,024","1,396,189",55.80%,59.00%
2009,California,93,Total,13494,"14,297,101","2,453,378","2,622,281",17.20%,18.30%
2010,California,93,Priv. Construction,643,"707,158","110,716","116,498",15.70%,16.50%
2010,California,93,Priv. Manufacturing,1390,"1,449,582","122,164","132,282",8.40%,9.10%
2010,California,93,Private,10922,"11,485,816","1,068,723","1,144,949",9.30%,10.00%
2010,California,93,Public,2332,"2,405,816","1,362,553","1,432,833",56.60%,59.60%
2010,California,93,Total,13254,"13,891,632","2,431,276","2,577,781",17.50%,18.60%
2011,California,93,Priv. Construction,623,"686,035","115,619","124,965",16.90%,18.20%
2011,California,93,Priv. Manufacturing,1418,"1,512,810","97,325","100,656",6.40%,6.70%
2011,California,93,Private,10856,"11,583,110","1,041,961","1,120,981",9.00%,9.70%
2011,California,93,Public,2244,"2,343,943","1,333,592","1,407,504",56.90%,60.00%
2011,California,93,Total,13100,"13,927,053","2,375,553","2,528,485",17.10%,18.20%
2012,California,93,Priv. Construction,677,"746,875","119,015","122,449",15.90%,16.40%
2012,California,93,Priv. Manufacturing,1361,"1,456,251","74,812","87,516",5.10%,6.00%
2012,California,93,Private,11191,"12,100,262","1,082,615","1,166,192",8.90%,9.60%
2012,California,93,Public,2246,"2,388,515","1,402,425","1,495,891",58.70%,62.60%
2012,California,93,Total,13437,"14,488,778","2,485,040","2,662,082",17.20%,18.40%
2013,California,93,Priv. Construction,691,"761,854","125,655","133,586",16.50%,17.50%
2013,California,93,Priv. Manufacturing,1440,"1,569,375","129,573","144,974",8.30%,9.20%
2013,California,93,Private,11426,"12,445,970","1,111,727","1,196,304",8.90%,9.60%
2013,California,93,Public,2237,"2,394,425","1,317,382","1,382,643",55.00%,57.70%
2013,California,93,Total,13663,"14,840,395","2,429,109","2,578,947",16.40%,17.40%
2014,California,93,Priv. Construction,710,"791,563","129,277","135,612",16.30%,17.10%
2014,California,93,Priv. Manufacturing,1422,"1,551,734","104,975","112,360",6.80%,7.20%
2014,California,93,Private,11668,"12,774,840","1,169,832","1,279,153",9.20%,10.00%
2014,California,93,Public,2204,"2,360,055","1,298,995","1,369,069",55.00%,58.00%
2014,California,93,Total,13872,"15,134,895","2,468,827","2,648,222",16.30%,17.50%
2015,California,93,Priv. Construction,705,"820,015","148,362","155,871",18.10%,19.00%
2015,California,93,Priv. Manufacturing,1377,"1,566,612","81,037","88,413",5.20%,5.60%
2015,California,93,Private,11572,"13,237,959","1,153,071","1,267,923",8.70%,9.60%
2015,California,93,Public,2149,"2,424,888","1,333,102","1,420,481",55.00%,58.60%
2015,California,93,Total,13721,"15,662,847","2,486,173","2,688,403",15.90%,17.20%
2016,California,93,Priv. Construction,720,"857,489","158,006","168,411",18.40%,19.60%
2016,California,93,Priv. Manufacturing,1398,"1,629,596","69,383","89,547",4.30%,5.50%
2016,California,93,Private,11597,"13,495,085","1,191,465","1,359,390",8.80%,10.10%
2016,California,93,Public,2189,"2,512,159","1,358,180","1,435,972",54.10%,57.20%
2016,California,93,Total,13786,"16,007,244","2,549,645","2,795,362",15.90%,17.50%
2017,California,93,Priv. Construction,732,"882,269","157,805","166,787",17.90%,18.90%
2017,California,93,Priv. Manufacturing,1335,"1,588,283","99,210","110,169",6.20%,6.90%
2017,California,93,Private,11403,"13,574,342","1,121,217","1,253,288",8.30%,9.20%
2017,California,93,Public,2149,"2,489,477","1,367,968","1,451,361",55.00%,58.30%
2017,California,93,Total,13552,"16,063,818","2,489,184","2,704,649",15.50%,16.80%
2018,California,93,Priv. Construction,730,"905,201","143,734","153,439",15.90%,17.00%
2018,California,93,Priv. Manufacturing,1314,"1,605,628","121,869","134,149",7.60%,8.40%
2018,California,93,Private,11346,"13,926,422","1,162,555","1,281,056",8.30%,9.20%
2018,California,93,Public,2058,"2,471,949","1,242,334","1,305,547",50.30%,52.80%
2018,California,93,Total,13404,"16,398,370","2,404,888","2,586,603",14.70%,15.80%
2019,California,93,Priv. Construction,769,"984,491","182,621","188,842",18.50%,19.20%
2019,California,93,Priv. Manufacturing,1207,"1,504,895","108,207","122,985",7.20%,8.20%
2019,California,93,Private,11239,"14,123,225","1,246,883","1,385,413",8.80%,9.80%
2019,California,93,Public,1934,"2,381,249","1,252,596","1,336,231",52.60%,56.10%
2019,California,93,Total,13173,"16,504,474","2,499,479","2,721,644",15.10%,16.50%
2020,California,93,Priv. Construction,693,"986,292","180,929","195,956",18.30%,19.90%
2020,California,93,Priv. Manufacturing,1022,"1,403,863","84,973","94,643",6.10%,6.70%
2020,California,93,Private,9105,"12,708,214","1,220,540","1,348,538",9.60%,10.60%
2020,California,93,Public,1734,"2,354,657","1,217,911","1,303,360",51.70%,55.40%
2020,California,93,Total,10839,"15,062,871","2,438,451","2,651,897",16.20%,17.60%
2021,California,93,Priv. Construction,701,"983,645","145,231","160,330",14.80%,16.30%
2021,California,93,Priv. Manufacturing,1021,"1,405,362","94,542","122,293",6.70%,8.70%
2021,California,93,Private,9491,"13,238,539","1,235,844","1,446,292",9.30%,10.90%
2021,California,93,Public,1652,"2,262,925","1,233,073","1,311,359",54.50%,57.90%
2021,California,93,Total,11143,"15,501,464","2,468,918","2,757,650",15.90%,17.80%
2022,California,93,Priv. Construction,690,"1,043,378","158,714","169,673",15.20%,16.30%
2022,California,93,Priv. Manufacturing,971,"1,403,671","69,341","76,367",4.90%,5.40%
2022,California,93,Private,9364,"13,732,258","1,273,166","1,412,869",9.30%,10.30%
2022,California,93,Public,1740,"2,513,245","1,344,231","1,443,684",53.50%,57.40%
2022,California,93,Total,11104,"16,245,503","2,617,397","2,856,553",16.10%,17.60%
1983,Colorado,84,Priv. Construction,228,"90,000","17,318","18,235",19.20%,20.30%
1983,Colorado,84,Priv. Manufacturing,458,"180,804","23,605","27,061",13.10%,15.00%
1983,Colorado,84,Private,2691,"1,070,075","120,298","133,002",11.20%,12.40%
1983,Colorado,84,Public,592,"238,890","57,592","76,548",24.10%,32.00%
1983,Colorado,84,Total,3283,"1,308,965","177,890","209,550",13.60%,16.00%
1984,Colorado,84,Priv. Construction,194,"95,365","17,308","18,588",18.10%,19.50%
1984,Colorado,84,Priv. Manufacturing,424,"196,755","24,808","28,948",12.60%,14.70%
1984,Colorado,84,Private,2499,"1,136,707","112,178","123,674",9.90%,10.90%
1984,Colorado,84,Public,567,"253,092","68,193","79,691",26.90%,31.50%
1984,Colorado,84,Total,3066,"1,389,800","180,371","203,365",13.00%,14.60%
1985,Colorado,84,Priv. Construction,142,"87,485","13,496","13,944",15.40%,15.90%
1985,Colorado,84,Priv. Manufacturing,311,"195,568","18,264","21,831",9.30%,11.20%
1985,Colorado,84,Private,1890,"1,156,141","102,491","115,409",8.90%,10.00%
1985,Colorado,84,Public,415,"237,751","62,683","75,664",26.40%,31.80%
1985,Colorado,84,Total,2305,"1,393,892","165,174","191,073",11.80%,13.70%
1986,Colorado,84,Priv. Construction,119,"85,692","16,532","16,532",19.30%,19.30%
1986,Colorado,84,Priv. Manufacturing,263,"186,145","20,843","27,635",11.20%,14.80%
1986,Colorado,84,Private,1602,"1,120,307","104,763","122,978",9.40%,11.00%
1986,Colorado,84,Public,353,"242,691","65,640","78,745",27.00%,32.40%
1986,Colorado,84,Total,1955,"1,362,999","170,403","201,723",12.50%,14.80%
1987,Colorado,84,Priv. Construction,109,"78,682","12,991","12,991",16.50%,16.50%
1987,Colorado,84,Priv. Manufacturing,263,"185,608","20,926","24,528",11.30%,13.20%
1987,Colorado,84,Private,1576,"1,100,612","89,132","100,755",8.10%,9.20%
1987,Colorado,84,Public,378,"265,084","68,294","87,716",25.80%,33.10%
1987,Colorado,84,Total,1954,"1,365,696","157,426","188,471",11.50%,13.80%
1988,Colorado,84,Priv. Construction,80,"57,462","11,336","11,336",19.70%,19.70%
1988,Colorado,84,Priv. Manufacturing,284,"201,947","21,491","24,289",10.60%,12.00%
1988,Colorado,84,Private,1536,"1,117,032","80,004","93,153",7.20%,8.30%
1988,Colorado,84,Public,381,"273,691","66,187","79,607",24.20%,29.10%
1988,Colorado,84,Total,1917,"1,390,723","146,191","172,760",10.50%,12.40%
1989,Colorado,84,Priv. Construction,78,"55,730","7,899","7,899",14.20%,14.20%
1989,Colorado,84,Priv. Manufacturing,285,"202,190","11,254","12,017",5.60%,5.90%
1989,Colorado,84,Private,1611,"1,149,325","74,591","85,141",6.50%,7.40%
1989,Colorado,84,Public,350,"245,510","54,609","72,694",22.20%,29.60%
1989,Colorado,84,Total,1961,"1,394,835","129,200","157,834",9.30%,11.30%
1990,Colorado,84,Priv. Construction,91,"67,154","7,864","7,864",11.70%,11.70%
1990,Colorado,84,Priv. Manufacturing,297,"208,780","17,594","18,384",8.40%,8.80%
1990,Colorado,84,Private,1695,"1,187,652","87,157","96,257",7.30%,8.10%
1990,Colorado,84,Public,413,"285,051","67,132","80,907",23.60%,28.40%
1990,Colorado,84,Total,2108,"1,472,702","154,289","177,165",10.50%,12.00%
1991,Colorado,84,Priv. Construction,82,"58,055","8,668","8,668",14.90%,14.90%
1991,Colorado,84,Priv. Manufacturing,297,"211,105","15,977","17,322",7.60%,8.20%
1991,Colorado,84,Private,1721,"1,210,561","91,083","97,573",7.50%,8.10%
1991,Colorado,84,Public,391,"268,981","53,954","76,122",20.10%,28.30%
1991,Colorado,84,Total,2112,"1,479,541","145,037","173,694",9.80%,11.70%
1992,Colorado,84,Priv. Construction,101,"75,785","10,125","10,125",13.40%,13.40%
1992,Colorado,84,Priv. Manufacturing,274,"196,442","16,528","17,119",8.40%,8.70%
1992,Colorado,84,Private,1680,"1,202,128","94,614","100,210",7.90%,8.30%
1992,Colorado,84,Public,392,"275,374","55,541","76,347",20.20%,27.70%
1992,Colorado,84,Total,2072,"1,477,502","150,155","176,557",10.20%,11.90%
1993,Colorado,84,Priv. Construction,108,"79,001","11,426","11,426",14.50%,14.50%
1993,Colorado,84,Priv. Manufacturing,312,"219,347","12,175","14,283",5.60%,6.50%
1993,Colorado,84,Private,1819,"1,285,236","92,039","98,491",7.20%,7.70%
1993,Colorado,84,Public,389,"274,052","61,220","79,957",22.30%,29.20%
1993,Colorado,84,Total,2208,"1,559,289","153,259","178,448",9.80%,11.40%
1994,Colorado,84,Priv. Construction,123,"92,719","16,087","16,087",17.40%,17.40%
1994,Colorado,84,Priv. Manufacturing,288,"214,455","14,600","17,389",6.80%,8.10%
1994,Colorado,84,Private,1824,"1,362,340","101,547","118,511",7.50%,8.70%
1994,Colorado,84,Public,388,"283,519","77,598","95,735",27.40%,33.80%
1994,Colorado,84,Total,2212,"1,645,859","179,145","214,246",10.90%,13.00%
1995,Colorado,84,Priv. Construction,136,"106,977","11,846","13,959",11.10%,13.00%
1995,Colorado,84,Priv. Manufacturing,282,"202,368","18,600","20,904",9.20%,10.30%
1995,Colorado,84,Private,1961,"1,459,825","100,576","119,969",6.90%,8.20%
1995,Colorado,84,Public,359,"265,474","69,424","87,740",26.20%,33.10%
1995,Colorado,84,Total,2320,"1,725,299","170,000","207,709",9.90%,12.00%
1996,Colorado,84,Priv. Construction,144,"113,126","10,598","10,598",9.40%,9.40%
1996,Colorado,84,Priv. Manufacturing,310,"239,961","22,618","24,979",9.40%,10.40%
1996,Colorado,84,Private,1911,"1,469,061","103,523","110,701",7.00%,7.50%
1996,Colorado,84,Public,338,"252,599","63,589","74,465",25.20%,29.50%
1996,Colorado,84,Total,2249,"1,721,660","167,113","185,166",9.70%,10.80%
1997,Colorado,84,Priv. Construction,152,"113,097","10,369","11,429",9.20%,10.10%
1997,Colorado,84,Priv. Manufacturing,317,"236,954","28,317","29,099",12.00%,12.30%
1997,Colorado,84,Private,2085,"1,556,461","104,573","121,365",6.70%,7.80%
1997,Colorado,84,Public,342,"257,205","69,592","79,381",27.10%,30.90%
1997,Colorado,84,Total,2427,"1,813,666","174,166","200,745",9.60%,11.10%
1998,Colorado,84,Priv. Construction,160,"121,869","7,905","7,905",6.50%,6.50%
1998,Colorado,84,Priv. Manufacturing,312,"233,266","19,999","19,999",8.60%,8.60%
1998,Colorado,84,Private,2106,"1,587,806","99,451","106,924",6.30%,6.70%
1998,Colorado,84,Public,395,"298,922","71,994","82,488",24.10%,27.60%
1998,Colorado,84,Total,2501,"1,886,728","171,446","189,412",9.10%,10.00%
1999,Colorado,84,Priv. Construction,149,"114,328","10,433","10,433",9.10%,9.10%
1999,Colorado,84,Priv. Manufacturing,332,"247,970","16,403","18,650",6.60%,7.50%
1999,Colorado,84,Private,2142,"1,596,588","88,339","95,520",5.50%,6.00%
1999,Colorado,84,Public,449,"330,422","92,271","103,945",27.90%,31.50%
1999,Colorado,84,Total,2591,"1,927,010","180,610","199,464",9.40%,10.40%
2000,Colorado,84,Priv. Construction,170,"137,164","9,271","9,271",6.80%,6.80%
2000,Colorado,84,Priv. Manufacturing,296,"230,790","31,060","33,344",13.50%,14.40%
2000,Colorado,84,Private,2045,"1,630,994","97,934","102,896",6.00%,6.30%
2000,Colorado,84,Public,374,"292,102","75,243","90,103",25.80%,30.80%
2000,Colorado,84,Total,2419,"1,923,096","173,177","192,999",9.00%,10.00%
2001,Colorado,84,Priv. Construction,202,"125,494","10,856","10,856",8.70%,8.70%
2001,Colorado,84,Priv. Manufacturing,362,"229,712","21,269","22,290",9.30%,9.70%
2001,Colorado,84,Private,2587,"1,647,298","101,929","115,329",6.20%,7.00%
2001,Colorado,84,Public,454,"287,831","75,621","88,656",26.30%,30.80%
2001,Colorado,84,Total,3041,"1,935,129","177,549","203,985",9.20%,10.50%
2002,Colorado,84,Priv. Construction,288,"146,426","15,543","17,577",10.60%,12.00%
2002,Colorado,84,Priv. Manufacturing,389,"197,306","20,810","21,931",10.50%,11.10%
2002,Colorado,84,Private,3232,"1,636,864","88,092","97,112",5.40%,5.90%
2002,Colorado,84,Public,604,"303,109","63,472","76,342",20.90%,25.20%
2002,Colorado,84,Total,3836,"1,939,973","151,564","173,454",7.80%,8.90%
2003,Colorado,84,Priv. Construction,293,"151,776","10,716","12,796",7.10%,8.40%
2003,Colorado,84,Priv. Manufacturing,357,"185,803","15,788","17,327",8.50%,9.30%
2003,Colorado,84,Private,3287,"1,695,604","88,918","99,191",5.20%,5.80%
2003,Colorado,84,Public,605,"311,690","66,941","81,026",21.50%,26.00%
2003,Colorado,84,Total,3892,"2,007,294","155,859","180,217",7.80%,9.00%
2004,Colorado,84,Priv. Construction,295,"160,736","10,971","11,554",6.80%,7.20%
2004,Colorado,84,Priv. Manufacturing,347,"184,007","17,573","18,591",9.60%,10.10%
2004,Colorado,84,Private,3201,"1,696,882","87,905","95,518",5.20%,5.60%
2004,Colorado,84,Public,673,"353,221","84,116","95,765",23.80%,27.10%
2004,Colorado,84,Total,3874,"2,050,104","172,021","191,283",8.40%,9.30%
2005,Colorado,84,Priv. Construction,286,"157,963","9,966","11,199",6.30%,7.10%
2005,Colorado,84,Priv. Manufacturing,373,"201,785","17,576","19,058",8.70%,9.40%
2005,Colorado,84,Private,3183,"1,720,366","90,951","101,059",5.30%,5.90%
